rin, key, value
R0000EW5RX,vat_code_uk,standard_rate
R0000EW5RX,manufacturer_part_number,OP10002
R0000EW5RX,manufacturer,Opus
R0000EW5RX,item_name,Amazon Kindle Flip-Arm LED Light, Black
R0000EW5RX,category,tablet-cases
R0000EW5RX,description,Super LED light is as bright as six regular LEDs and never need replacing. Strong wide mouth clip grips almost anything, or use free standing as a task light. Cool to the touch, never gets hot.
R0000EW5RX,gtin,05052801822010
R0000EVZVF,gender,U
R0000EVZVF,supports_powering_by_solar,FALSE
R0000EVZVF,manufacturer,Tomy
R0000EVZVF,product_weight,0.26
R0000EVZVF,description,No mess fun for parent and baby that can be played with again and again. Fill the fun lilly pad with water and place little hands or feet on top to make fun hand and foot prints everywhere using only water! Have fun with your little one using just water then watch your prints magically fade away ready to enjoy again and again. Make fun prints and use the 2 stampers for even more fun! The magic mat then dries like new.
R0000EVZVF,supports_powering_by_mains,FALSE
R0000EVZVF,manufacturer_part_number,71515
R0000EVZVF,supports_powering_by_petrol,FALSE
R0000EVZVF,supports_powering_by_computer,FALSE
R0000EVZVF,contains_mains_adapter,FALSE
R0000EVZVF,item_name,Tomy 71515 Be Baby - Aqua Splash and Print
R0000EVZVF,number_of_batteries,0
R0000EVZVF,category,activity-toys
R0000EVZVF,vat_code_uk,standard_rate
R0000EVZVF,gtin,505011666715158
R0000EVZVF,supports_powering_by_lighter,FALSE
R0000EVZVF,min_suggested_age,6
R0000EVZVF,supports_powering_by_phantom_power,FALSE
R0000EVZVF,supports_powering_by_phone,FALSE
R0000EVZVF,supports_powering_by_battery,FALSE
